COD_ESC;NOMESC;Dir;MUN;NIVEL SOCIOECONOMICO DOS ALUNOS
30806,00;HELEN KELLER;ADAMANTINA;ADAMANTINA;5,31
31045,00;DURVALINO GRION PROF;ADAMANTINA;ADAMANTINA;5,36
31082,00;EUDECIO LUIZ VICENTE PROF ETEC;ADAMANTINA;ADAMANTINA;5,78
31100,00;HERVAL BELLUSCI ENGENHEIRO ETEC;ADAMANTINA;ADAMANTINA;5,39
31112,00;FLEURIDES CAVALLINI MENECHINO PROFA;ADAMANTINA;ADAMANTINA;5,54
79911,00;EURICO LEITE DE MORAIS PROF EMEF;ADAMANTINA;ADAMANTINA;5,40
79923,00;EMEF PROFA TERUYO KIKUTA;ADAMANTINA;ADAMANTINA;5,21
220796,00;NAVARRO DE ANDRADE EMEF;ADAMANTINA;ADAMANTINA;5,49
27352,00;ODILA BOVOLENTA DE MENDONCA PROFESSORA;JOSE BONIFACIO;ADOLFO;4,71
202393,00;RUTH DOS REIS PROFA ESCOLA MUNICIPAL;JOSE BONIFACIO;ADOLFO;5,07
281050,00;AMILDE TEDESCHI ESCOLA MUNICIPAL;JOSE BONIFACIO;ADOLFO;5,04
20515,00;JOSE THEODORO DE MORAES;SAO JOAO DA BOA VISTA;AGUAI;4,89
20527,00;GERALDO LOURENCO PADRE;SAO JOAO DA BOA VISTA;AGUAI;5,14
20722,00;EGLE LUPORINI COSTA PROFESSORA;SAO JOAO DA BOA VISTA;AGUAI;5,16
71705,00;JOAQUIM GIRALDI PROFESSOR ESCOLA MUNICIPAL;SAO JOAO DA BOA VISTA;AGUAI;5,53
218509,00;JOSE LEGASPE MUINHA EMEF;SAO JOAO DA BOA VISTA;AGUAI;5,32
218522,00;JOAO SILVA EMEB;SAO JOAO DA BOA VISTA;AGUAI;5,29
242469,00;ZULMIRA MORAES LEGASPE MAMEDE EMEF;SAO JOAO DA BOA VISTA;AGUAI;4,90
242974,00;LEONOR CONTI ELIAS PROFESSORA EMEIF;SAO JOAO DA BOA VISTA;AGUAI;5,08
408815,00;JOSE DE OLIVEIRA JOSE DEMETRIO EM;SAO JOAO DA BOA VISTA;AGUAI;4,85
408852,00;JOAO DE OLIVEIRA BORGES EMEB;SAO JOAO DA BOA VISTA;AGUAI;5,05
434565,00;ARNALDO PEREIRA CHEREGATTI ETEC;SAO JOAO DA BOA VISTA;AGUAI;5,35
917928,00;CONJUNTO HABITACIONAL DONA DOSANJOS MACEDO;SAO JOAO DA BOA VISTA;AGUAI;5,36
20448,00;TIMOTHEO SILVA PROFESSOR;SAO JOAO DA BOA VISTA;AGUAS DA PRATA;5,28
20459,00;JOAO URIAS DA SILVA CAPITAO;SAO JOAO DA BOA VISTA;AGUAS DA PRATA;5,11
31562,00;FELIPPE URTADO SERRATO EMEB;SAO JOAO DA BOA VISTA;AGUAS DA PRATA;5,47
223633,00;AUREA SOARES PROFESSORA EMEB;SAO JOAO DA BOA VISTA;AGUAS DA PRATA;5,36
17361,00;FRANCISCO TOZZI DR;MOGI MIRIM;AGUAS DE LINDOIA;5,42
17632,00;VICENTE RIZZO DR;MOGI MIRIM;AGUAS DE LINDOIA;5,34
192533,00;GERALDO MANTOVANI DR EMEIEF;MOGI MIRIM;AGUAS DE LINDOIA;5,81
230662,00;LUIZ BARBOSA EM;MOGI MIRIM;AGUAS DE LINDOIA;5,32
289097,00;PEDRO FACCHINI COMENDADOR EM;MOGI MIRIM;AGUAS DE LINDOIA;5,57
451034,00;CREUSA APARECIDA MARIANO PROFA EMEF;MOGI MIRIM;AGUAS DE LINDOIA;5,41
14515,00;PAULO DELICIO;AVARE;AGUAS DE SANTA BARBARA;5,43
221200,00;PAULO APARECIDO SILVERIO EMEF;AVARE;AGUAS DE SANTA BARBARA;5,42
21234,00;ANGELO FRANZIN;PIRACICABA;AGUAS DE SAO PEDRO;5,66
215348,00;MARIA LUIZA FORNASIER FRANZIN EMEF;PIRACICABA;AGUAS DE SAO PEDRO;5,82
7997,00;MANOEL GONCALVES PROF;BAURU;AGUDOS;5,27
25987,00;JOAO BATISTA DE AQUINO PE;BAURU;AGUDOS;5,25
26001,00;MARIA BATAGLIN DELAZARI;BAURU;AGUDOS;4,82
26037,00;JOAO BATISTA RIBEIRO;BAURU;AGUDOS;5,46
49670,00;FARID FAYAD PROF;BAURU;AGUDOS;5,54
82028,00;LYDIA THIEDE PROFA EMEFEI E CRECHE;BAURU;AGUDOS;5,05
86605,00;MARIA LECTICIA SORMANI COGO PROFA EMEI CRECHE;BAURU;AGUDOS;5,51
89148,00;SILVIA MARIA AMATO TRIGO PROFA EMEFEI;BAURU;AGUDOS;5,10
223955,00;SERGIO AUGUSTO MAININI PROFESSOR EMEFEI;BAURU;AGUDOS;5,42
227158,00;LEITE CORONEL EMEF;BAURU;AGUDOS;5,43
227161,00;LUIZ ODASSI NETO PROF EMEF;BAURU;AGUDOS;5,03
246323,00;FAUSTO DE MARCO PROF EMEF;BAURU;AGUDOS;5,42
634876,00;SEBASTIAO FUNCHAL EMEFEI CRECHE;BAURU;AGUDOS;4,83
905859,00;NILZA MARIA SANTAREM PASCHOAL PROFA;BAURU;AGUDOS;5,19
36912,00;EDUARDO SOARES PROF;ITAPETININGA;ALAMBARI;5,15
57927,00;LUCIANO JOSE RAMOS EMEIF;ITAPETININGA;ALAMBARI;5,35
243644,00;JOSE GRACA EMEIEF;ITAPETININGA;ALAMBARI;4,99
243668,00;NIVALDO LAZARO DO CARMO CUBAS EMEF;ITAPETININGA;ALAMBARI;5,01
31896,00;FILOMENA SCATENA CHRISTOFANO;PRESIDENTE PRUDENTE;ALFREDO MARCONDES;5,32
28228,00;OVIDIO DE SOUZA DIAS;BARRETOS;ALTAIR;5,16
239773,00;MARIA BAPTISTA DE CASTRO PROFESSORA EMEF;BARRETOS;ALTAIR;5,10
22901,00;ANTONIO BARREIROS PROFESSOR;RIBEIRAO PRETO;ALTINOPOLIS;5,21
210134,00;ALAYDE DE FIGUEIREDO PALMA CANASSA EMEFEI;RIBEIRAO PRETO;ALTINOPOLIS;5,37
220899,00;CARMEM MIGUEL VICARI EMEF;RIBEIRAO PRETO;ALTINOPOLIS;5,27
220905,00;GERALDO TROSSEL PADRE EMEF;RIBEIRAO PRETO;ALTINOPOLIS;5,57
239781,00;JOAQUIM DA CUNHA CORONEL EMEF;RIBEIRAO PRETO;ALTINOPOLIS;5,13
281360,00;ERMELINDA ROSALINA SAMMARCO DE FIGUEIREDO EMEFEI;RIBEIRAO PRETO;ALTINOPOLIS;5,41
567644,00;ANA LUCIA FELIPE PENTEADO FERREIRA EMEFEI;RIBEIRAO PRETO;ALTINOPOLIS;5,10
30326,00;DIOGO GARCIA MARTINS EXPEDICIONARIO;PENAPOLIS;ALTO ALEGRE;5,16
436379,00;EMEF PROFESSOR SUSSUMI IVAMA;PENAPOLIS;ALTO ALEGRE;5,24
16020,00;HONORINA RIOS DE CARVALHO MELLO;SAO ROQUE;ALUMINIO;5,23
78633,00;JOSE JOAQUIM DA SILVA ESCOLA MUNICIPAL;SAO ROQUE;ALUMINIO;5,43
204122,00;MANOEL NETTO FILHO ESCOLA MUNICIPAL;SAO ROQUE;ALUMINIO;4,97
211412,00;JOAO DE ALMEIDA ESCOLA MUNICIPAL;SAO ROQUE;ALUMINIO;5,47
240138,00;ANTONIO DE CASTRO FIGUEIROA ENGENHEIRO ESCOLA MUNICIPAL;SAO ROQUE;ALUMINIO;5,34
